sample_id	cluster_id	size	mean	std
SRR385941	0	30	0.03006671002089222	0.0008141439806340997
SRR385940	0	30	0.8201868414156	0.0017935006904314286
SRR385938	0	30	0.0816668094938104	0.003728626693623327
SRR385939	0	30	0.24684132746260215	0.004700359664673777
SRR385941	1	28	0.21885563542281536	0.0033928179129737615
SRR385940	1	28	0.049099122567651525	0.00404528385180101
SRR385938	1	28	0.6240550347605717	0.005062264258215667
SRR385939	1	28	0.010000000015236304	3.903080229628209e-07
SRR385941	2	37	0.6682168055792866	0.004013684290074141
SRR385940	2	37	0.13004028391685774	0.0008954825281476619
SRR385938	2	37	0.010000000000027808	1.907400302780376e-08
SRR385939	2	37	0.038674228662667974	0.0033920292713197657
SRR385941	3	33	0.08756919252926708	0.004312230253858017
SRR385940	3	33	0.019998996902004112	0.00010037756310411014
SRR385938	3	33	0.2903917480731424	0.002651148227571738
SRR385939	3	33	0.7195515313545543	0.002925288023848641
SRR385941	4	1	0.30757975364197193	0.09254703196699428
SRR385940	4	1	0.08310552501921195	0.02942347789316503
SRR385938	4	1	0.6343705657590123	0.022562814515285676
SRR385939	4	1	0.7292124762341222	0.021504597389494683
SRR385941	5	1	0.5365202343303176	0.15665759625041914
SRR385940	5	1	0.9037883630188501	0.01424098186012788
SRR385938	5	1	0.09708046702116367	0.033397931137485806
SRR385939	5	1	0.4871306461451029	0.14334812177659578
SRR385941	6	1	0.08910404297962049	0.03105461491144363
SRR385940	6	1	0.012616604291823538	0.0068104141498166884
SRR385938	6	1	0.2672667850874464	0.08126365353059008
SRR385939	6	1	0.011045539667761048	0.0068693777697492985
SRR385941	7	1	0.08228910018340224	0.028973924791205526
SRR385940	7	1	0.014307776557083162	0.007308123636726607
SRR385938	7	1	0.32294346821468656	0.09658710947307972
SRR385939	7	1	0.5651019827821014	0.0646254995146882
SRR385941	8	1	0.003838842737972525	0.0078076342798602235
SRR385940	8	1	0.0029487224263921408	0.006599362512783561
SRR385938	8	1	0.036836061675301124	0.020377256858418957
SRR385939	8	1	0.16878498820887744	0.06497299909138768
